,Length,Frequency,Accuracy,Outcome_type,Length_type
0,1,68,0.96969696969697,Physiological-Clinical,Short span length
1,1,41,0.838709677419355,Life-Impact,Short span length
2,1,26,0.071428571428572,Life-Impact,Short span length
3,1,24,0.75,Adverse-effects,Short span length
4,1,17,0.2,Physiological-Clinical,Short span length
5,1,17,0.2,Life-Impact,Short span length
6,1,15,0.564102564102564,Life-Impact,Short span length
7,1,15,0.564102564102564,Life-Impact,Short span length
8,1,15,0.564102564102564,Mortality,Short span length
9,1,13,0.846153846153846,Physiological-Clinical,Short span length
10,1,12,0.387755102040816,Physiological-Clinical,Short span length
11,1,12,0.387755102040816,Physiological-Clinical,Short span length
12,1,11,0.825396825396825,Mortality,Short span length
13,1,11,0.825396825396825,Physiological-Clinical,Short span length
14,1,11,0.825396825396825,Physiological-Clinical,Short span length
15,1,11,0.825396825396825,Life-Impact,Short span length
16,1,10,0.452380952380952,Life-Impact,Short span length
17,1,9,0.61038961038961,Physiological-Clinical,Short span length
18,1,9,0.61038961038961,Physiological-Clinical,Short span length
19,1,9,0.61038961038961,Mortality,Short span length
20,1,9,0.61038961038961,Physiological-Clinical,Short span length
21,1,9,0.61038961038961,Physiological-Clinical,Short span length
22,1,9,0.61038961038961,Physiological-Clinical,Short span length
23,1,9,0.61038961038961,Mortality,Short span length
24,1,9,0.61038961038961,Physiological-Clinical,Short span length
25,1,8,0.235294117647059,Life-Impact,Short span length
26,1,8,0.235294117647059,Physiological-Clinical,Short span length
27,1,8,0.235294117647059,Life-Impact,Short span length
28,1,8,0.235294117647059,Life-Impact,Short span length
29,1,8,0.235294117647059,Life-Impact,Short span length
30,1,8,0.235294117647059,Physiological-Clinical,Short span length
31,1,8,0.235294117647059,Physiological-Clinical,Short span length
32,1,7,0.318181818181818,Physiological-Clinical,Short span length
33,1,7,0.318181818181818,Life-Impact,Short span length
34,1,7,0.318181818181818,Physiological-Clinical,Short span length
35,1,7,0.318181818181818,Life-Impact,Short span length
36,1,7,0.318181818181818,Physiological-Clinical,Short span length
37,1,7,0.318181818181818,Physiological-Clinical,Short span length
38,1,7,0.318181818181818,Life-Impact,Short span length
39,1,6,0.4375,Physiological-Clinical,Short span length
40,1,6,0.4375,Physiological-Clinical,Short span length
41,1,6,0.4375,Physiological-Clinical,Short span length
42,1,6,0.4375,Physiological-Clinical,Short span length
43,1,6,0.4375,Physiological-Clinical,Short span length
44,1,6,0.4375,Physiological-Clinical,Short span length
45,1,6,0.4375,Life-Impact,Short span length
46,1,6,0.4375,Life-Impact,Short span length
47,1,6,0.4375,Physiological-Clinical,Short span length
48,1,6,0.4375,Physiological-Clinical,Short span length
49,1,6,0.4375,Resource-use,Short span length
50,1,5,0.264705882352941,Physiological-Clinical,Short span length
51,1,5,0.264705882352941,Physiological-Clinical,Short span length
52,1,5,0.264705882352941,Physiological-Clinical,Short span length
53,1,5,0.264705882352941,Physiological-Clinical,Short span length
54,1,5,0.264705882352941,Mortality,Short span length
55,1,5,0.264705882352941,Physiological-Clinical,Short span length
56,1,5,0.264705882352941,Physiological-Clinical,Short span length
57,1,5,0.264705882352941,Life-Impact,Short span length
58,1,5,0.264705882352941,Adverse-effects,Short span length
59,1,5,0.264705882352941,Resource-use,Short span length
60,1,5,0.264705882352941,Adverse-effects,Short span length
61,1,5,0.264705882352941,Life-Impact,Short span length
62,1,5,0.264705882352941,Life-Impact,Short span length
63,1,5,0.264705882352941,Physiological-Clinical,Short span length
64,1,5,0.264705882352941,Physiological-Clinical,Short span length
65,1,5,0.264705882352941,Physiological-Clinical,Short span length
66,1,5,0.264705882352941,Physiological-Clinical,Short span length
67,1,4,0.321052631578947,Physiological-Clinical,Short span length
68,1,4,0.321052631578947,Life-Impact,Short span length
69,1,4,0.321052631578947,Life-Impact,Short span length
70,1,4,0.321052631578947,Life-Impact,Short span length
71,1,4,0.321052631578947,Life-Impact,Short span length
72,1,4,0.321052631578947,Life-Impact,Short span length
73,1,4,0.321052631578947,Physiological-Clinical,Short span length
74,1,4,0.321052631578947,Life-Impact,Short span length
75,1,4,0.321052631578947,Physiological-Clinical,Short span length
76,1,4,0.321052631578947,Physiological-Clinical,Short span length
77,1,4,0.321052631578947,Life-Impact,Short span length
78,1,4,0.321052631578947,Life-Impact,Short span length
79,1,4,0.321052631578947,Life-Impact,Short span length
80,1,4,0.321052631578947,Adverse-effects,Short span length
81,1,4,0.321052631578947,Physiological-Clinical,Short span length
82,1,4,0.321052631578947,Physiological-Clinical,Short span length
83,1,4,0.321052631578947,Physiological-Clinical,Short span length
84,1,4,0.321052631578947,Life-Impact,Short span length
